THUMB,INDEX,MIDDLE,RING,LITTLE,RESULT
250,2,4,18,2,A
248,3,3,18,1,A
247,4,2,14,4,A
252,2,6,20,3,A
260,2,3,19,2,A
249,3,4,19,2,A
249,1,3,18,1,A
249,4,1,18,2,A
248,3,4,18,3,A
251,1,3,18,3,A
247,3,4,19,1,A
261,3,3,20,4,A
262,3,1,22,1,A
247,4,4,18,2,A
249,3,2,20,1,A
248,4,3,18,1,A
248,3,4,18,2,A
240,3,4,20,1,A
254,3,3,18,3,A
274,1,6,17,1,A
258,4,3,22,4,A
238,4,4,17,2,A
249,3,3,20,1,A
249,2,4,17,1,A
248,3,4,17,1,A
249,4,3,19,4,A
251,4,1,15,1,A
255,3,6,22,1,A
252,4,1,19,2,A
247,1,3,20,1,A
262,4,3,18,4,A
248,2,4,18,4,A
249,3,4,19,1,A
248,3,3,18,1,A
247,4,3,19,4,A
169,8,6,33,9,B
161,7,6,32,10,B
159,6,6,34,9,B
162,7,6,32,12,B
161,6,5,34,9,B
165,6,7,31,10,B
166,8,7,31,12,B
158,7,6,34,9,B
135,6,7,35,12,B
203,8,8,29,10,B
160,5,6,33,10,B
161,5,6,32,9,B
160,7,7,33,9,B
161,8,6,32,10,B
154,6,6,32,9,B
163,6,6,33,9,B
172,7,5,34,10,B
175,7,7,30,9,B
160,5,3,32,10,B
158,5,6,32,9,B
160,6,5,31,9,B
161,6,7,33,9,B
160,6,5,33,10,B
155,8,4,31,10,B
175,5,6,34,9,B
201,6,8,36,9,B
144,8,3,31,12,B
161,6,6,34,9,B
160,5,5,32,10,B
160,5,6,34,9,B
162,7,6,32,10,B
169,7,6,32,10,B
184,4,4,24,4,C
184,4,3,22,4,C
185,4,4,21,3,C
184,3,4,24,6,C
187,3,5,22,4,C
177,3,3,22,4,C
183,6,6,20,4,C
169,4,3,28,4,C
184,5,5,22,6,C
183,3,4,22,4,C
183,6,4,22,3,C
184,3,6,21,3,C
186,4,5,23,3,C
170,4,4,19,6,C
173,3,4,24,4,C
213,3,4,26,3,C
198,6,5,19,4,C
184,3,6,23,4,C
186,3,4,23,6,C
184,4,4,24,4,C
186,4,4,23,4,C
184,6,6,24,3,C
184,3,4,23,6,C
188,3,4,23,4,C
182,4,2,23,5,C
158,4,6,24,4,C
186,3,3,22,4,C
183,4,4,23,4,C
185,3,3,24,4,C
184,2,4,23,5,C
183,3,6,24,3,C
188,4,4,25,1,C
169,7,4,21,2,D
154,8,4,21,4,D
154,6,4,21,2,D
152,5,3,20,2,D
155,6,4,19,3,D
154,7,6,20,1,D
151,7,4,21,2,D
156,6,3,20,3,D
164,5,5,19,4,D
178,6,4,24,1,D
155,6,4,21,3,D
153,6,2,20,1,D
154,7,4,19,2,D
154,5,3,22,1,D
158,7,3,22,4,D
151,7,2,21,2,D
155,8,4,22,2,D
136,5,6,20,2,D
180,6,3,23,4,D
153,6,2,21,1,D
156,5,3,23,2,D
154,7,3,20,2,D
153,6,3,20,4,D
158,6,4,19,4,D
155,7,6,21,2,D
164,7,3,21,4,D
148,6,2,20,3,D
144,5,3,20,4,D
153,6,4,21,2,D
154,6,3,19,4,D
155,6,4,21,3,D
154,5,3,22,1,D
148,2,1,20,4,E
139,2,2,17,2,E
154,1,3,19,2,E
147,2,1,17,2,E
161,3,0,22,4,E
149,3,4,18,2,E
148,1,2,17,1,E
147,4,1,17,2,E
148,1,2,20,4,E
148,4,2,18,4,E
145,1,2,17,3,E
148,1,3,18,2,E
153,4,1,21,3,E
161,2,2,17,4,E
147,2,4,18,2,E
148,1,2,18,2,E
144,4,1,18,2,E
149,2,4,17,2,E
147,1,3,18,1,E
150,1,2,19,4,E
152,2,2,15,1,E
136,4,3,16,1,E
134,2,4,18,4,E
150,1,2,20,1,E
147,2,1,17,2,E
147,1,4,17,1,E
149,4,1,17,3,E
157,2,3,18,4,E
148,1,1,17,2,E
141,2,1,18,2,E
142,2,1,19,4,E
155,2,4,17,2,E
183,3,7,30,5,F
180,3,3,27,7,F
186,3,7,29,5,F
183,3,5,29,7,F
183,2,6,29,5,F
184,2,5,27,6,F
182,3,6,30,5,F
183,4,7,29,6,F
185,3,6,28,6,F
178,3,7,32,5,F
172,1,8,27,6,F
181,3,6,30,5,F
182,4,5,27,6,F
183,3,8,29,6,F
184,3,6,29,6,F
184,3,7,28,6,F
183,4,5,30,6,F
183,3,7,28,5,F
178,1,6,26,6,F
190,4,6,28,7,F
184,3,6,30,6,F
183,2,5,27,6,F
181,2,6,32,5,F
185,4,7,29,6,F
179,3,7,30,5,F
180,4,5,27,6,F
181,3,7,29,7,F
192,4,6,26,5,F
195,6,5,30,6,F
181,3,6,29,6,F
182,4,6,29,6,F
184,3,6,29,5,F
181,3,6,32,6,F
180,4,7,29,6,F
181,3,6,30,5,F
249,6,3,18,1,G
249,6,1,20,2,G
250,6,3,17,2,G
249,6,2,18,1,G
249,6,2,18,2,G
250,6,3,19,4,G
249,5,1,20,2,G
249,6,2,19,1,G
248,6,2,18,2,G
249,5,1,20,1,G
250,6,2,19,1,G
249,6,3,20,1,G
250,5,5,17,2,G
249,5,2,18,4,G
249,6,6,18,2,G
248,7,3,19,2,G
248,5,6,18,1,G
248,6,1,18,2,G
248,6,3,20,2,G
