THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
223,147,4,2,16,-1.17,7.94,-4.49,-0.01,0.04,0.05,A
221,147,3,2,16,-1.18,7.99,-4.41,-0.04,-0.05,0.05,A
222,146,4,3,16,-0.91,8.09,-4.49,-0.04,-0.04,0.04,A
223,146,3,2,16,-0.90,8.08,-4.36,-0.04,-0.04,0.01,A
222,147,3,4,16,-0.91,8.08,-4.46,-0.10,-0.02,-0.04,A
222,147,4,2,18,-1.03,8.29,-4.18,-0.17,-0.03,-0.01,A
222,148,2,2,18,-1.12,8.19,-3.32,-0.34,-0.05,0.07,A
222,149,5,2,16,-1.55,8.54,-3.52,-0.02,-0.11,0.06,A
222,148,3,2,17,-1.08,8.56,-3.38,-0.14,-0.11,0.07,A
222,148,3,2,15,-1.41,8.38,-3.33,0.10,-0.04,0.05,A
222,148,3,0,17,-0.64,8.76,-4.19,0.04,-0.31,0.11,A
223,149,3,2,17,-1.92,8.40,-3.12,-0.21,-0.13,0.12,A
221,149,4,3,17,-0.96,9.21,-1.55,-0.08,-0.54,0.35,A
222,150,5,1,16,-0.86,8.76,-2.28,-0.02,-0.38,0.29,A
221,148,5,2,18,0.08,9.36,-2.93,0.22,-0.26,0.18,A
221,149,5,2,15,0.31,8.98,-3.41,0.07,0.10,0.10,A
222,148,4,2,18,-0.57,7.91,-3.22,0.28,0.65,-0.81,A
221,150,3,1,16,-0.76,9.00,-4.31,-0.18,0.31,0.33,A
221,150,3,2,17,0.23,8.94,-3.63,-0.00,-0.45,-0.07,A
221,151,3,0,16,-0.67,8.59,-3.55,-0.28,-0.49,0.25,A
221,151,3,3,17,0.83,8.97,-3.49,-0.10,-0.67,0.39,A
221,151,4,1,16,0.62,8.54,-2.85,0.24,-0.31,0.07,A
221,151,4,3,17,0.56,8.97,-3.48,0.04,0.03,0.16,A
222,151,3,3,17,1.03,8.75,-3.59,-0.04,-0.10,-0.05,A
221,151,5,1,18,0.71,8.40,-3.43,-0.02,-0.08,-0.03,A
221,152,5,3,17,0.65,8.22,-3.50,0.26,-0.05,0.15,A
221,152,3,1,17,1.36,8.76,-3.74,0.30,-0.05,0.34,A
221,152,2,1,16,1.41,8.42,-4.95,-0.12,0.13,-0.04,A
221,152,4,1,19,1.60,9.09,-4.58,-0.25,-0.02,-0.38,A
221,151,2,2,16,1.58,8.49,-3.94,-0.32,0.03,-0.42,A
221,152,3,1,16,0.08,8.38,-2.71,-0.34,0.20,0.03,A
223,153,4,2,18,-0.09,8.74,-3.21,0.12,-0.12,0.06,A
220,152,3,1,17,-0.49,8.88,-3.12,0.10,-0.34,0.20,A
222,151,4,1,15,0.77,8.93,-2.95,0.08,-0.25,0.23,A
223,152,2,2,17,1.61,9.08,-2.89,-0.14,-0.09,0.24,A
221,152,2,1,17,0.49,8.40,-2.74,0.10,0.44,-0.19,A
222,152,4,1,17,0.92,8.83,-2.94,0.15,0.71,-0.25,A
220,153,2,3,16,1.62,8.75,-4.62,0.04,0.41,0.06,A
222,152,2,0,16,0.58,8.82,-3.40,-0.05,0.03,-0.15,A
221,152,5,1,18,0.88,8.81,-3.39,0.05,-0.17,-0.07,A
221,152,2,1,17,0.64,9.41,-2.87,-0.35,-0.29,-0.29,A
222,152,3,1,17,0.38,8.19,-2.53,-0.33,-0.09,-0.14,A
221,152,3,2,17,-0.46,8.82,-2.29,0.16,-0.06,0.11,A
221,153,3,2,17,0.51,8.40,-3.00,0.27,-0.25,0.43,A
221,153,3,3,17,0.96,8.83,-3.58,0.36,-0.07,0.10,A
220,153,4,2,17,1.52,9.38,-4.36,0.30,-0.22,0.25,A
221,152,2,0,16,0.96,8.52,-3.55,-0.46,-0.28,0.09,A
221,153,4,2,19,2.07,8.26,-2.67,0.10,0.15,-0.20,A
222,154,3,1,17,0.90,8.38,-2.98,0.32,1.05,-0.24,A
221,152,3,0,16,-0.50,8.88,-4.76,0.06,0.46,-0.14,A
220,152,2,1,16,1.34,8.33,-3.96,-0.08,-0.15,-0.13,A
221,153,4,2,17,0.22,7.89,-3.80,-0.12,-0.21,0.04,A
222,154,3,0,17,0.69,8.12,-3.71,0.36,-0.46,0.35,A
222,155,2,2,17,2.07,8.18,-4.61,0.17,0.01,-0.08,A
221,154,2,1,16,0.12,7.88,-5.19,0.06,0.16,-0.24,A
221,154,4,2,19,-0.14,7.68,-5.60,0.04,-0.22,-0.06,A
221,155,3,4,19,0.76,7.78,-4.70,-0.29,-0.13,0.06,A
