THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
258,5,6,20,207,2.07,5.70,8.17,0.20,-0.07,-0.02,A
255,6,5,25,199,2.00,5.86,9.02,0.15,0.05,-0.02,A
253,6,5,21,210,1.27,5.95,8.91,0.10,-0.08,0.01,A
258,6,7,21,208,1.82,6.23,8.68,-0.04,-0.24,-0.15,A
256,5,6,21,214,1.15,5.74,9.16,0.20,-0.12,-0.02,A
255,6,8,21,209,1.57,5.80,9.08,-0.17,0.03,-0.09,A
256,6,6,21,210,1.68,5.99,8.91,0.06,-0.04,0.00,A
255,6,6,20,210,1.48,5.87,9.35,0.13,-0.07,0.07,A
257,5,6,21,209,1.13,5.71,8.92,0.04,0.03,-0.13,A
264,6,4,18,222,1.52,6.10,8.67,0.10,-0.10,0.13,A
255,6,5,21,205,2.02,5.93,8.97,0.29,-0.14,0.13,A
257,5,6,22,209,1.51,6.07,8.79,-0.16,0.13,0.10,A
262,6,4,22,217,1.09,5.83,9.17,-0.32,0.12,-0.02,A
251,5,5,22,206,1.39,5.75,9.11,0.01,0.01,0.03,A
257,6,6,22,209,1.62,5.68,9.33,0.17,-0.09,-0.04,A
262,6,6,21,198,0.84,5.62,9.23,0.05,-0.09,0.09,A
256,6,5,24,207,1.33,5.77,9.23,-0.05,-0.02,0.01,A
258,6,6,21,210,1.21,5.69,9.09,-0.22,0.08,-0.04,A
271,5,6,18,209,1.22,5.71,9.13,-0.18,0.09,-0.06,A
256,6,6,21,209,1.32,5.74,9.19,0.02,0.04,0.01,A
256,6,6,21,209,1.48,5.89,9.10,0.14,-0.01,0.00,A
256,5,6,22,211,1.07,5.64,9.26,-0.06,0.05,0.00,A
256,5,8,21,209,1.08,5.68,9.21,-0.15,0.05,0.00,A
258,5,9,20,200,0.96,5.79,9.01,-0.09,0.01,-0.01,A
260,6,5,22,212,1.20,5.76,9.08,-0.10,-0.04,0.05,A
255,6,6,20,209,1.26,5.86,9.05,0.07,-0.03,-0.05,A
268,6,5,24,199,1.34,5.80,9.21,0.02,-0.01,-0.00,A
255,6,8,21,213,1.08,5.77,9.17,-0.01,0.01,0.06,A
257,6,6,20,207,1.13,5.79,9.07,-0.05,-0.01,-0.07,A
246,6,4,24,218,1.61,5.84,9.17,0.04,-0.04,-0.15,A
257,6,6,23,215,0.72,5.70,9.32,0.08,0.02,0.01,A
161,10,13,34,272,3.89,7.02,7.38,0.13,-0.11,0.04,B
165,10,14,35,273,3.38,7.14,7.19,-0.13,0.04,-0.01,B
166,10,13,35,272,3.42,7.04,7.01,0.06,-0.09,0.07,B
165,10,12,33,271,3.70,7.20,7.26,0.01,-0.06,0.15,B
169,11,14,35,273,3.49,7.18,6.76,-0.09,0.03,-0.09,B
151,10,13,35,273,3.73,7.13,7.15,-0.03,0.03,-0.01,B
169,10,13,34,273,3.46,7.27,7.03,0.02,0.00,0.03,B
170,10,13,34,273,3.73,7.16,7.11,0.00,-0.08,0.03,B
153,11,15,37,267,3.56,7.15,7.13,0.02,-0.08,0.03,B
170,10,13,34,273,3.67,7.05,7.14,-0.10,-0.06,0.10,B
171,10,12,35,273,3.86,6.92,7.17,-0.04,-0.01,-0.04,B
163,10,13,34,270,3.85,7.02,7.16,-0.02,-0.05,0.01,B
174,10,12,34,272,3.80,6.98,7.14,-0.03,-0.03,0.01,B
170,10,12,34,273,3.83,6.93,7.16,0.03,-0.04,0.03,B
175,12,13,35,281,3.80,7.01,7.09,0.05,-0.04,0.07,B
162,10,12,35,271,3.79,7.00,7.12,0.00,-0.04,0.01,B
172,9,14,35,273,3.88,6.94,7.18,0.02,-0.08,0.04,B
168,12,13,30,270,3.76,6.84,7.04,-0.05,-0.06,-0.02,B
173,10,13,35,277,4.60,6.30,7.47,-0.03,-0.18,0.00,B
173,10,12,33,273,3.68,6.97,6.86,-0.05,-0.09,-0.09,B
170,11,13,34,272,3.36,7.11,7.02,-0.02,0.02,-0.02,B
173,11,13,35,272,3.71,7.07,6.83,-0.07,0.05,0.06,B
174,10,13,34,273,3.97,6.68,7.42,-0.19,-0.14,0.08,B
177,10,13,36,273,4.42,6.41,7.71,-0.12,-0.02,-0.02,B
173,10,13,35,272,3.83,6.60,7.12,-0.07,0.07,0.07,B
173,10,12,35,273,4.27,6.28,7.83,-0.10,-0.10,0.05,B
177,10,14,36,273,4.12,6.46,7.59,-0.09,-0.05,0.08,B
173,10,12,34,272,3.56,6.61,7.06,-0.12,0.02,-0.02,B
170,12,11,34,272,4.52,6.13,8.05,-0.08,-0.00,0.08,B
180,11,13,35,272,4.38,6.01,7.87,-0.03,-0.07,0.02,B
175,8,13,34,272,4.60,6.01,7.95,-0.01,0.00,0.00,B
